Trial Number,Suggestion Number,Clock Period (ns) Entered,Clock_Min_Period,Clock Slack (ns),Clock_Worst_Slack,softmax_choice,max_context_length,Total Period (ns),ABC Max Fanout,ABC Map Effort,Power (W),Area (um^2),Total Cells,Sequential Cells,Combinational Cells,Sequential_Internal,Sequential_Switching,Sequential_Leakage,Sequential_Total,Combinational_Internal,Combinational_Switching,Combinational_Leakage,Combinational_Total,Num_Wires,Num_Wire_Bits,Num_Public_Wires,Num_Public_Wire_Bits,Num_Cells,Chip_Area,Num_Memories,Num_Memory_Bits,Num_Processes,Total Time(s)
6,1,5,4.133,0.649,0.649,SOFTERMAX,256,4.782,N/A,N/A,0.111,431525.1168,60434,10679,49755,0.0903,0.00129,8.7e-08,0.0916,0.0064,0.0126,7.85e-08,0.019,60459,60704,10801,11046,60434,431525.1168,0,0,0,56
6,2,5,4.098,0.686,0.686,SOFTERMAX,192,4.784,N/A,N/A,0.0868,324637.6032,45197,8055,37142,0.0691,0.00135,6.59e-08,0.0704,0.00583,0.0106,5.82e-08,0.0164,45222,45467,8177,8422,45197,324637.6032,0,0,0,41
6,3,5,6.044,-1.362,-1.362,SOFTMAX,512,4.6819999999999995,N/A,N/A,0.193,873938.175999,111160,20609,90551,0.175,0.00221,2.39e-07,0.177,0.00535,0.01,1.28e-07,0.0154,111183,111397,20705,20919,111160,873938.175999,0,0,0,118
6,4,5,5.779,-1.083,-1.083,SOFTMAX,256,4.696,N/A,N/A,0.137,591114.4256,77233,14460,62773,0.124,0.0019,1.52e-07,0.125,0.00426,0.00681,9.14e-08,0.0111,77256,77470,14556,14770,77233,591114.4256,0,0,0,74
6,5,5,4.696,0.057,0.057,SOFTERMAX,1024,4.753,N/A,N/A,0.392,1709922.451201,236884,42171,194713,0.345,0.000899,3.4e-07,0.346,0.0125,0.0335,2.88e-07,0.046,236909,237158,42293,42542,236884,1709922.451201,0,0,0,251
6,6,5,5.779,-1.083,-1.083,SOFTMAX,256,4.696,N/A,N/A,0.137,591114.4256,77233,14460,62773,0.124,0.0019,1.52e-07,0.125,0.00426,0.00681,9.14e-08,0.0111,77256,77470,14556,14770,77233,591114.4256,0,0,0,75
7,0,5,6.131,-1.454,-1.454,SOFTMAX,1024,4.6770000000000005,N/A,N/A,0.304,1417130.390399,178067,32902,145165,0.278,0.00283,4.11e-07,0.281,0.00752,0.0162,2.18e-07,0.0237,178090,178304,32998,33212,178067,1417130.390399,0,0,0,218
7,1,5,4.098,0.686,0.686,SOFTERMAX,192,4.784,N/A,N/A,0.0868,324637.6032,45197,8055,37142,0.0691,0.00135,6.59e-08,0.0704,0.00583,0.0106,5.82e-08,0.0164,45222,45467,8177,8422,45197,324637.6032,0,0,0,41
7,2,5,6.044,-1.362,-1.362,SOFTMAX,512,4.6819999999999995,N/A,N/A,0.193,873938.175999,111160,20609,90551,0.175,0.00221,2.39e-07,0.177,0.00535,0.01,1.28e-07,0.0154,111183,111397,20705,20919,111160,873938.175999,0,0,0,117
7,3,5,4.098,0.686,0.686,SOFTERMAX,192,4.784,N/A,N/A,0.0868,324637.6032,45197,8055,37142,0.0691,0.00135,6.59e-08,0.0704,0.00583,0.0106,5.82e-08,0.0164,45222,45467,8177,8422,45197,324637.6032,0,0,0,41
7,4,5,3.929,0.864,0.864,SOFTERMAX,64,4.793,N/A,N/A,0.0529,119070.448,16768,2803,13965,0.0296,0.00234,2.37e-08,0.0319,0.00862,0.0124,2.44e-08,0.021,16793,17034,2912,3153,16768,119070.448,0,0,0,17
8,0,5,4.025,0.763,0.763,SOFTERMAX,128,4.788,N/A,N/A,0.0867,223081.4528,30615,5429,25186,0.054,0.00347,4.49e-08,0.0574,0.0116,0.0177,4.08e-08,0.0293,30640,30883,5551,5794,30615,223081.4528,0,0,0,32
8,1,5,4.299,0.475,0.475,SOFTERMAX,512,4.774,N/A,N/A,0.202,843798.019199,114193,21177,93016,0.175,0.000874,1.71e-07,0.175,0.00798,0.0186,1.3e-07,0.0266,114218,114465,21299,21546,114193,843798.019199,0,0,0,118
8,2,5,5.46,-0.747,-0.747,SOFTMAX,64,4.713,N/A,N/A,0.0994,390947.4496,52763,9842,42921,0.0856,0.00195,8.83e-08,0.0876,0.00488,0.00696,6.16e-08,0.0118,52786,53000,9938,10152,52763,390947.4496,0,0,0,49
8,3,5,4.098,0.686,0.686,SOFTERMAX,192,4.784,N/A,N/A,0.0868,324637.6032,45197,8055,37142,0.0691,0.00135,6.59e-08,0.0704,0.00583,0.0106,5.82e-08,0.0164,45222,45467,8177,8422,45197,324637.6032,0,0,0,41
8,4,5,6.082,-1.402,-1.402,SOFTMAX,768,4.68,N/A,N/A,0.253,1145323.455999,143831,26758,117073,0.229,0.00328,3.25e-07,0.232,0.00724,0.0137,1.69e-07,0.021,143854,144068,26854,27068,143831,1145323.455999,0,0,0,170
8,5,5,4.696,0.057,0.057,SOFTERMAX,1024,4.753,N/A,N/A,0.392,1709922.451201,236884,42171,194713,0.345,0.000899,3.4e-07,0.346,0.0125,0.0335,2.88e-07,0.046,236909,237158,42293,42542,236884,1709922.451201,0,0,0,256
8,6,5,4.696,0.057,0.057,SOFTERMAX,1024,4.753,N/A,N/A,0.392,1709922.451201,236884,42171,194713,0.345,0.000899,3.4e-07,0.346,0.0125,0.0335,2.88e-07,0.046,236909,237158,42293,42542,236884,1709922.451201,0,0,0,254
8,7,5,4.025,0.763,0.763,SOFTERMAX,128,4.788,N/A,N/A,0.0867,223081.4528,30615,5429,25186,0.054,0.00347,4.49e-08,0.0574,0.0116,0.0177,4.08e-08,0.0293,30640,30883,5551,5794,30615,223081.4528,0,0,0,32
8,8,5,4.635,0.121,0.121,SOFTERMAX,768,4.756,N/A,N/A,0.298,1271105.3408,173455,31675,141780,0.26,0.00092,2.56e-07,0.261,0.0107,0.0266,1.98e-07,0.0373,173480,173729,31797,32046,173455,1271105.3408,0,0,0,175
